,weight,total_gross_income,pitax,table_row
7094,10.0,0.0,0.0,1
13005,10.0,0.0,0.0,1
13028,10.0,0.0,0.0,1
13035,10.0,0.0,0.0,1
2126,10.0,0.0,0.0,1
13048,10.0,0.0,0.0,1
13078,10.0,0.0,0.0,1
13092,10.0,0.0,0.0,1
13099,10.0,0.0,0.0,1
13103,10.0,0.0,0.0,1
7066,10.0,0.0,0.0,1
13146,10.0,0.0,0.0,1
13194,10.0,0.0,0.0,1
12968,10.0,0.0,0.0,1
12577,10.0,0.0,0.0,1
14235,10.0,0.0,0.0,1
14238,10.0,0.0,0.0,1
15229,10.0,0.0,0.0,1
15237,10.0,0.0,0.0,1
15247,10.0,0.0,0.0,1
15248,10.0,0.0,0.0,1
15259,10.0,0.0,0.0,1
15265,10.0,0.0,0.0,1
15283,10.0,0.0,0.0,1
6358,10.0,0.0,0.0,1
15211,10.0,0.0,0.0,1
6357,10.0,0.0,0.0,1
6347,10.0,0.0,0.0,1
15322,10.0,0.0,0.0,1
2477,10.0,0.0,0.0,1
15346,10.0,0.0,0.0,1
15347,10.0,0.0,0.0,1
6332,10.0,0.0,0.0,1
6331,10.0,0.0,0.0,1
6327,10.0,0.0,0.0,1
6355,10.0,0.0,0.0,1
15403,10.0,0.0,0.0,1
6380,10.0,0.0,0.0,1
6387,10.0,0.0,0.0,1
6424,10.0,0.0,0.0,1
6423,10.0,0.0,0.0,1
15115,10.0,0.0,0.0,1
2434,10.0,0.0,0.0,1
2436,10.0,0.0,0.0,1
6417,10.0,0.0,0.0,1
15135,10.0,0.0,0.0,1
2439,10.0,0.0,0.0,1
15210,10.0,0.0,0.0,1
15141,10.0,0.0,0.0,1
15174,10.0,0.0,0.0,1
6397,10.0,0.0,0.0,1
15186,10.0,0.0,0.0,1
6393,10.0,0.0,0.0,1
15194,10.0,0.0,0.0,1
15196,10.0,0.0,0.0,1
6389,10.0,0.0,0.0,1
15201,10.0,0.0,0.0,1
15149,10.0,0.0,0.0,1
15409,10.0,0.0,0.0,1
15415,10.0,0.0,0.0,1
15446,10.0,0.0,0.0,1
15604,10.0,0.0,0.0,1
15618,10.0,0.0,0.0,1
2531,10.0,0.0,0.0,1
15626,10.0,0.0,0.0,1
15655,10.0,0.0,0.0,1
15667,10.0,0.0,0.0,1
15669,10.0,0.0,0.0,1
15677,10.0,0.0,0.0,1
2527,10.0,0.0,0.0,1
6201,10.0,0.0,0.0,2
15693,10.0,0.0,0.0,2
15697,10.0,0.0,0.0,2
15709,10.0,0.0,0.0,2
6190,10.0,0.0,0.0,2
15731,10.0,0.0,0.0,2
15738,10.0,0.0,0.0,2
15746,10.0,0.0,0.0,2
15753,10.0,0.0,0.0,2
2542,10.0,0.0,0.0,2
15601,10.0,0.0,0.0,2
15595,10.0,0.0,0.0,2
15592,10.0,0.0,0.0,2
6297,10.0,0.0,0.0,2
15476,10.0,0.0,0.0,2
15481,10.0,0.0,0.0,2
15489,10.0,0.0,0.0,2
15495,10.0,0.0,0.0,2
