,weight_2018,pitax_2018,total_gross_income_2018,weight_2019,pitax_2019,total_gross_income_2019,weight_2020,pitax_2020,total_gross_income_2020,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
58,"2,330.0000",316.0000,"2,897.0000","2,330.0000",362.0000,"3,168.0000","2,330.0000",359.0000,"3,154.0000","2,330.0000",415.0000,"3,480.0000","2,330.0000",445.0000,"3,658.0000","2,330.0000",565.0000,"3,658.0000","2,330.0000",640.0000,"3,929.0000","2,330.0000",687.0000,"4,098.0000","2,330.0000",757.0000,"4,352.0000","2,330.0000",828.0000,"4,606.0000","2,330.0000",908.0000,"4,891.0000",0.1217,0.1545
59,"2,330.0000",331.0000,"2,978.0000","2,330.0000",380.0000,"3,256.0000","2,330.0000",377.0000,"3,242.0000","2,330.0000",436.0000,"3,577.0000","2,330.0000",468.0000,"3,759.0000","2,330.0000",605.0000,"3,759.0000","2,330.0000",686.0000,"4,038.0000","2,330.0000",736.0000,"4,212.0000","2,330.0000",812.0000,"4,473.0000","2,330.0000",887.0000,"4,734.0000","2,330.0000",972.0000,"5,028.0000",0.1245,0.1609
60,"2,330.0000",342.0000,"3,062.0000","2,330.0000",391.0000,"3,347.0000","2,330.0000",388.0000,"3,333.0000","2,330.0000",446.0000,"3,677.0000","2,330.0000",478.0000,"3,865.0000","2,330.0000",615.0000,"3,865.0000","2,330.0000",693.0000,"4,151.0000","2,330.0000",742.0000,"4,330.0000","2,330.0000",815.0000,"4,599.0000","2,330.0000",889.0000,"4,867.0000","2,330.0000",972.0000,"5,169.0000",0.1237,0.1591
61,"2,330.0000",357.0000,"3,135.0000","2,330.0000",406.0000,"3,428.0000","2,330.0000",404.0000,"3,413.0000","2,330.0000",464.0000,"3,766.0000","2,330.0000",497.0000,"3,958.0000","2,330.0000",649.0000,"3,958.0000","2,330.0000",731.0000,"4,251.0000","2,330.0000",782.0000,"4,434.0000","2,330.0000",858.0000,"4,709.0000","2,330.0000",935.0000,"4,984.0000","2,330.0000","1,022.0000","5,293.0000",0.1256,0.1640
62,"2,330.0000",368.0000,"3,198.0000","2,330.0000",419.0000,"3,497.0000","2,330.0000",417.0000,"3,482.0000","2,330.0000",478.0000,"3,842.0000","2,330.0000",512.0000,"4,038.0000","2,330.0000",675.0000,"4,038.0000","2,330.0000",759.0000,"4,337.0000","2,330.0000",811.0000,"4,524.0000","2,330.0000",890.0000,"4,804.0000","2,330.0000",969.0000,"5,084.0000","2,330.0000","1,059.0000","5,400.0000",0.1268,0.1672
63,"2,340.0000",377.0000,"3,263.0000","2,340.0000",429.0000,"3,567.0000","2,340.0000",427.0000,"3,551.0000","2,340.0000",490.0000,"3,919.0000","2,340.0000",524.0000,"4,119.0000","2,340.0000",692.0000,"4,119.0000","2,340.0000",778.0000,"4,424.0000","2,340.0000",831.0000,"4,615.0000","2,340.0000",911.0000,"4,901.0000","2,340.0000",992.0000,"5,187.0000","2,340.0000","1,082.0000","5,508.0000",0.1272,0.1680
64,"2,330.0000",380.0000,"3,304.0000","2,330.0000",431.0000,"3,612.0000","2,330.0000",429.0000,"3,596.0000","2,330.0000",491.0000,"3,969.0000","2,330.0000",524.0000,"4,171.0000","2,330.0000",685.0000,"4,171.0000","2,330.0000",768.0000,"4,480.0000","2,330.0000",820.0000,"4,673.0000","2,330.0000",898.0000,"4,963.0000","2,330.0000",976.0000,"5,252.0000","2,330.0000","1,063.0000","5,578.0000",0.1256,0.1642
65,"2,330.0000",394.0000,"3,360.0000","2,330.0000",448.0000,"3,673.0000","2,330.0000",445.0000,"3,657.0000","2,330.0000",511.0000,"4,035.0000","2,330.0000",546.0000,"4,241.0000","2,330.0000",729.0000,"4,241.0000","2,330.0000",818.0000,"4,555.0000","2,330.0000",873.0000,"4,752.0000","2,330.0000",956.0000,"5,046.0000","2,330.0000","1,040.0000","5,341.0000","2,330.0000","1,133.0000","5,672.0000",0.1287,0.1719
66,"2,330.0000",404.0000,"3,416.0000","2,330.0000",458.0000,"3,735.0000","2,330.0000",456.0000,"3,718.0000","2,330.0000",521.0000,"4,103.0000","2,330.0000",557.0000,"4,312.0000","2,330.0000",745.0000,"4,312.0000","2,330.0000",834.0000,"4,632.0000","2,330.0000",889.0000,"4,831.0000","2,330.0000",973.0000,"5,131.0000","2,330.0000","1,056.0000","5,430.0000","2,330.0000","1,150.0000","5,767.0000",0.1292,0.1728
67,"2,330.0000",408.0000,"3,481.0000","2,330.0000",460.0000,"3,806.0000","2,330.0000",458.0000,"3,789.0000","2,330.0000",522.0000,"4,181.0000","2,330.0000",557.0000,"4,395.0000","2,330.0000",733.0000,"4,395.0000","2,330.0000",818.0000,"4,720.0000","2,330.0000",872.0000,"4,924.0000","2,330.0000",952.0000,"5,229.0000","2,330.0000","1,033.0000","5,534.0000","2,330.0000","1,124.0000","5,877.0000",0.1267,0.1668
68,"2,330.0000",418.0000,"3,548.0000","2,330.0000",473.0000,"3,879.0000","2,330.0000",470.0000,"3,863.0000","2,330.0000",536.0000,"4,262.0000","2,330.0000",571.0000,"4,480.0000","2,330.0000",757.0000,"4,480.0000","2,330.0000",844.0000,"4,812.0000","2,330.0000",898.0000,"5,019.0000","2,330.0000",980.0000,"5,330.0000","2,330.0000","1,062.0000","5,641.0000","2,330.0000","1,155.0000","5,991.0000",0.1275,0.1690
69,"2,330.0000",433.0000,"3,616.0000","2,330.0000",489.0000,"3,953.0000","2,330.0000",486.0000,"3,936.0000","2,330.0000",554.0000,"4,343.0000","2,330.0000",591.0000,"4,565.0000","2,330.0000",794.0000,"4,565.0000","2,330.0000",885.0000,"4,903.0000","2,330.0000",941.0000,"5,114.0000","2,330.0000","1,026.0000","5,431.0000","2,330.0000","1,112.0000","5,748.0000","2,330.0000","1,208.0000","6,104.0000",0.1295,0.1739
70,"2,330.0000",448.0000,"3,686.0000","2,330.0000",507.0000,"4,030.0000","2,330.0000",504.0000,"4,012.0000","2,330.0000",575.0000,"4,427.0000","2,330.0000",613.0000,"4,653.0000","2,330.0000",835.0000,"4,653.0000","2,330.0000",931.0000,"4,998.0000","2,330.0000",991.0000,"5,213.0000","2,330.0000","1,081.0000","5,536.0000","2,330.0000","1,171.0000","5,859.0000","2,330.0000","1,272.0000","6,222.0000",0.1317,0.1795
71,"2,330.0000",460.0000,"3,774.0000","2,330.0000",520.0000,"4,126.0000","2,330.0000",517.0000,"4,108.0000","2,330.0000",589.0000,"4,533.0000","2,330.0000",628.0000,"4,764.0000","2,330.0000",855.0000,"4,764.0000","2,330.0000",951.0000,"5,117.0000","2,330.0000","1,012.0000","5,338.0000","2,330.0000","1,103.0000","5,669.0000","2,330.0000","1,194.0000","6,000.0000","2,330.0000","1,297.0000","6,371.0000",0.1318,0.1795
72,"2,340.0000",467.0000,"3,868.0000","2,340.0000",525.0000,"4,229.0000","2,340.0000",522.0000,"4,210.0000","2,340.0000",593.0000,"4,646.0000","2,340.0000",631.0000,"4,883.0000","2,340.0000",846.0000,"4,883.0000","2,340.0000",939.0000,"5,245.0000","2,340.0000",998.0000,"5,471.0000","2,340.0000","1,087.0000","5,810.0000","2,340.0000","1,175.0000","6,149.0000","2,340.0000","1,275.0000","6,530.0000",0.1292,0.1733
73,"2,330.0000",483.0000,"3,925.0000","2,330.0000",544.0000,"4,292.0000","2,330.0000",541.0000,"4,273.0000","2,330.0000",614.0000,"4,715.0000","2,330.0000",654.0000,"4,955.0000","2,330.0000",891.0000,"4,955.0000","2,330.0000",989.0000,"5,323.0000","2,330.0000","1,051.0000","5,552.0000","2,330.0000","1,143.0000","5,896.0000","2,330.0000","1,235.0000","6,240.0000","2,330.0000","1,339.0000","6,627.0000",0.1320,0.1798
74,"2,330.0000",494.0000,"4,019.0000","2,330.0000",555.0000,"4,394.0000","2,330.0000",552.0000,"4,375.0000","2,330.0000",626.0000,"4,828.0000","2,330.0000",666.0000,"5,074.0000","2,330.0000",904.0000,"5,074.0000","2,330.0000","1,001.0000","5,450.0000","2,330.0000","1,063.0000","5,684.0000","2,330.0000","1,154.0000","6,037.0000","2,330.0000","1,246.0000","6,389.0000","2,330.0000","1,350.0000","6,785.0000",0.1313,0.1782
75,"2,330.0000",516.0000,"4,109.0000","2,330.0000",580.0000,"4,493.0000","2,330.0000",577.0000,"4,473.0000","2,330.0000",655.0000,"4,936.0000","2,330.0000",697.0000,"5,188.0000","2,330.0000",965.0000,"5,188.0000","2,330.0000","1,069.0000","5,572.0000","2,330.0000","1,134.0000","5,812.0000","2,330.0000","1,232.0000","6,172.0000","2,330.0000","1,329.0000","6,533.0000","2,330.0000","1,439.0000","6,938.0000",0.1343,0.1860
76,"2,330.0000",536.0000,"4,217.0000","2,330.0000",602.0000,"4,610.0000","2,330.0000",598.0000,"4,591.0000","2,330.0000",678.0000,"5,065.0000","2,330.0000",722.0000,"5,324.0000","2,330.0000","1,006.0000","5,324.0000","2,330.0000","1,113.0000","5,718.0000","2,330.0000","1,180.0000","5,965.0000","2,330.0000","1,280.0000","6,334.0000","2,330.0000","1,381.0000","6,704.0000","2,330.0000","1,494.0000","7,120.0000",0.1356,0.1890
77,"2,330.0000",545.0000,"4,316.0000","2,330.0000",611.0000,"4,719.0000","2,330.0000",608.0000,"4,698.0000","2,330.0000",688.0000,"5,185.0000","2,330.0000",731.0000,"5,449.0000","2,330.0000","1,011.0000","5,449.0000","2,330.0000","1,116.0000","5,853.0000","2,330.0000","1,183.0000","6,105.0000","2,330.0000","1,282.0000","6,483.0000","2,330.0000","1,382.0000","6,862.0000","2,330.0000","1,494.0000","7,287.0000",0.1342,0.1855
78,"2,330.0000",566.0000,"4,441.0000","2,330.0000",633.0000,"4,855.0000","2,330.0000",630.0000,"4,834.0000","2,330.0000",712.0000,"5,334.0000","2,330.0000",757.0000,"5,606.0000","2,330.0000","1,051.0000","5,606.0000","2,330.0000","1,159.0000","6,021.0000","2,330.0000","1,227.0000","6,281.0000","2,330.0000","1,329.0000","6,670.0000","2,330.0000","1,431.0000","7,059.0000","2,330.0000","1,546.0000","7,497.0000",0.1350,0.1875
79,"2,330.0000",589.0000,"4,584.0000","2,330.0000",660.0000,"5,011.0000","2,330.0000",656.0000,"4,990.0000","2,330.0000",742.0000,"5,506.0000","2,330.0000",788.0000,"5,787.0000","2,330.0000","1,103.0000","5,787.0000","2,330.0000","1,216.0000","6,215.0000","2,330.0000","1,287.0000","6,483.0000","2,330.0000","1,395.0000","6,885.0000","2,330.0000","1,502.0000","7,287.0000","2,330.0000","1,624.0000","7,738.0000",0.1362,0.1906
80,"2,330.0000",606.0000,"4,726.0000","2,330.0000",677.0000,"5,167.0000","2,330.0000",673.0000,"5,144.0000","2,330.0000",759.0000,"5,677.0000","2,330.0000",806.0000,"5,966.0000","2,330.0000","1,120.0000","5,966.0000","2,330.0000","1,233.0000","6,408.0000","2,330.0000","1,304.0000","6,684.0000","2,330.0000","1,410.0000","7,099.0000","2,330.0000","1,516.0000","7,513.0000","2,330.0000","1,636.0000","7,979.0000",0.1351,0.1877
81,"2,340.0000",633.0000,"4,917.0000","2,340.0000",706.0000,"5,376.0000","2,340.0000",702.0000,"5,352.0000","2,340.0000",791.0000,"5,906.0000","2,340.0000",839.0000,"6,207.0000","2,340.0000","1,167.0000","6,207.0000","2,340.0000","1,282.0000","6,667.0000","2,340.0000","1,354.0000","6,954.0000","2,340.0000","1,463.0000","7,385.0000","2,340.0000","1,571.0000","7,817.0000","2,340.0000","1,694.0000","8,301.0000",0.1352,0.1880
82,"2,330.0000",657.0000,"5,075.0000","2,330.0000",732.0000,"5,549.0000","2,330.0000",728.0000,"5,525.0000","2,330.0000",820.0000,"6,096.0000","2,330.0000",870.0000,"6,407.0000","2,330.0000","1,214.0000","6,407.0000","2,330.0000","1,333.0000","6,882.0000","2,330.0000","1,409.0000","7,179.0000","2,330.0000","1,521.0000","7,623.0000","2,330.0000","1,634.0000","8,068.0000","2,330.0000","1,762.0000","8,569.0000",0.1358,0.1895
83,"2,330.0000",690.0000,"5,258.0000","2,330.0000",769.0000,"5,748.0000","2,330.0000",765.0000,"5,723.0000","2,330.0000",861.0000,"6,315.0000","2,330.0000",913.0000,"6,637.0000","2,330.0000","1,287.0000","6,637.0000","2,330.0000","1,412.0000","7,129.0000","2,330.0000","1,491.0000","7,436.0000","2,330.0000","1,608.0000","7,897.0000","2,330.0000","1,727.0000","8,358.0000","2,330.0000","1,859.0000","8,876.0000",0.1376,0.1939
84,"2,330.0000",726.0000,"5,479.0000","2,330.0000",809.0000,"5,990.0000","2,330.0000",805.0000,"5,964.0000","2,330.0000",904.0000,"6,581.0000","2,330.0000",959.0000,"6,916.0000","2,330.0000","1,359.0000","6,916.0000","2,330.0000","1,490.0000","7,429.0000","2,330.0000","1,572.0000","7,749.0000","2,330.0000","1,694.0000","8,229.0000","2,330.0000","1,818.0000","8,709.0000","2,330.0000","1,956.0000","9,249.0000",0.1387,0.1965
85,"2,330.0000",743.0000,"5,714.0000","2,330.0000",826.0000,"6,247.0000","2,330.0000",821.0000,"6,220.0000","2,330.0000",921.0000,"6,864.0000","2,330.0000",976.0000,"7,214.0000","2,330.0000","1,357.0000","7,214.0000","2,330.0000","1,485.0000","7,748.0000","2,330.0000","1,565.0000","8,082.0000","2,330.0000","1,685.0000","8,583.0000","2,330.0000","1,806.0000","9,084.0000","2,330.0000","1,942.0000","9,647.0000",0.1353,0.1881
